ip,app,device,os,channel,click_scalar,is_attributed
122790.0,23.0,1.0,13.0,153.0,3.0,0.0
188669.0,15.0,1.0,19.0,153.0,0.0,0.0
210331.0,8.0,1.0,19.0,259.0,2.0,1.0
173999.0,10.0,1.0,30.0,113.0,2.0,1.0
129803.0,35.0,1.0,13.0,21.0,1.0,1.0
23496.0,1.0,1.0,19.0,153.0,3.0,0.0
159539.0,10.0,1.0,37.0,113.0,2.0,1.0
86266.0,246.0,0.0,24.0,333.0,4.0,1.0
110119.0,2.0,1.0,25.0,237.0,0.0,0.0
3262.0,3.0,1.0,17.0,371.0,3.0,0.0
55213.0,12.0,1.0,12.0,277.0,3.0,0.0
123276.0,14.0,1.0,13.0,442.0,1.0,0.0
196260.0,29.0,1.0,13.0,213.0,0.0,1.0
69447.0,3.0,1.0,4.0,137.0,0.0,0.0
169202.0,18.0,1.0,9.0,107.0,4.0,0.0
164973.0,18.0,1.0,13.0,121.0,4.0,0.0
67628.0,18.0,1.0,17.0,107.0,5.0,0.0
60655.0,35.0,1.0,13.0,21.0,0.0,1.0
37462.0,3.0,2.0,13.0,137.0,4.0,0.0
190264.0,64.0,1.0,13.0,459.0,2.0,0.0
63817.0,12.0,1.0,32.0,140.0,2.0,0.0
139707.0,5.0,1.0,11.0,113.0,2.0,1.0
154433.0,39.0,1.0,13.0,213.0,2.0,1.0
187409.0,12.0,1.0,10.0,265.0,0.0,0.0
154820.0,19.0,0.0,21.0,213.0,1.0,1.0
182243.0,12.0,1.0,10.0,178.0,3.0,0.0
205918.0,10.0,1.0,30.0,113.0,3.0,1.0
206724.0,5.0,1.0,36.0,113.0,0.0,1.0
52218.0,24.0,1.0,22.0,178.0,4.0,0.0
127717.0,20.0,1.0,19.0,478.0,3.0,1.0
105850.0,29.0,1.0,13.0,101.0,0.0,1.0
156563.0,8.0,1.0,13.0,145.0,5.0,0.0
198214.0,19.0,0.0,21.0,213.0,2.0,1.0
31971.0,3.0,1.0,26.0,280.0,5.0,0.0
19800.0,35.0,1.0,13.0,21.0,1.0,1.0
8286.0,35.0,1.0,19.0,21.0,5.0,1.0
29875.0,2.0,1.0,25.0,477.0,3.0,0.0
141799.0,35.0,1.0,22.0,274.0,3.0,1.0
81776.0,15.0,1.0,13.0,245.0,4.0,0.0
83472.0,35.0,1.0,19.0,21.0,1.0,1.0
17714.0,2.0,1.0,8.0,469.0,4.0,0.0
96062.0,55.0,1.0,13.0,453.0,3.0,0.0
64982.0,18.0,1.0,14.0,107.0,3.0,0.0
8557.0,18.0,1.0,17.0,107.0,5.0,0.0
124325.0,18.0,1.0,6.0,107.0,0.0,0.0
78895.0,12.0,1.0,10.0,205.0,1.0,0.0
139535.0,3.0,1.0,19.0,280.0,2.0,0.0
99809.0,12.0,1.0,18.0,265.0,5.0,0.0
46729.0,21.0,1.0,19.0,128.0,3.0,0.0
84749.0,19.0,40.0,24.0,213.0,1.0,1.0
62955.0,12.0,1.0,13.0,178.0,2.0,0.0
71788.0,3.0,1.0,22.0,280.0,4.0,0.0
95779.0,19.0,503.0,50.0,333.0,2.0,1.0
82282.0,14.0,1.0,14.0,406.0,2.0,0.0
38875.0,9.0,1.0,13.0,215.0,1.0,0.0
2872.0,24.0,1.0,17.0,178.0,3.0,0.0
